,funding_agency_name,Country
4315,NASA Fire Information for Resource Management System,United States
4317,Thailand Department of Provincial Administration,Thailand
4323,National Higher Education Science Research and Innovation Policy Council of Thailand,Thailand
4325,Fundacao para a Ciencia e Tecnologia,Portugal
4326,"Department of Biochemistry and Microbiology, Faculty of Pharmaceutical Sciences, Chulalongkorn University",Thailand
4328,Petroleum Authority of Thailand,Thailand
4330,Mektec Manufacturing corporation,Japan
4331,"Department of Chemical Engineering, Kasetsart University",Thailand
4332,Suksomboon Palm Oil Industry Co. Ltd.,Thailand
4333,"School of Science and Advanced Engineering Platform, School of Engineering , Monash University Malaysia",Malaysia
4334,Assumption University,Thailand
4335,King's Mongkut University of Technology Thonburi,Thailand
4336,Shenzhen Development and Reform Commission Foundation for Shenzhen Engineering Research Center for Frontier Materials Synthesis at High Pressure,China
4337,Universities in Guangdong Province Guangdong Innovative & Entrepreneurial Research Team Shenzhen Peacock Plan Shenzhen Science and Technology Innovation Commission National Natural Science Foundation of China Natural Science Foundation of Shanghai U.S. Department of Energy Oak Ridge National Laboratory,China
4339,Rowden White Foundation,United States
4341,"Dept of Biotechnology, New Delhi India",India
4344,Sanofi-Pasteur,France
4345,Telethon Kids,Australia
4346,"European and Developing Countries Clinical Trials Partnership, UK Research and Innovation",The United Kingdom
4347,NA-ACCORD,Canada
4348,Cornell Wildlife Health Center,United States
4349,Graduate School of Marine Science and Technology,Japan
4351,China Higher Education Society,China
4352,CREST JST,Japan
4353,National Research Council of Thailand and Health Sys-tems Research Institute,Thailand
4354,Shanxi Yanchang Petroleum Group,China
4355,Materials Research Facility,United States
4357,"Biosense Webster, Inc.",United States
4358,Center of Excellence in Arrhythmia Research Chulalongkorn University,Thailand
4360,"Department of Obstetrics and Gynecology, Faculty of Medicine, King Chulalongkorn Memorial Hospital",Thailand
4361,Singapore Ministry of Education Social Science Research Council,Singapore
4366,"Ministerio de Ciencia, Tecnología e Innovación",Argentina
4369,Max Planck Institute of Molecular Physiology,Germany
4370,New Zealand Marsden Fund,New Zealand
4371,Chulalongkorn University Technology Center,Thailand
4375,Chulalongkorn Economic Research Center,Thailand
4379,Levine Cancer Institute,United States
4380,Secura Bio,United States
4382,"Faculty of Science, King Mongkut?s Institute of Technology Ladkrabang",Thailand
4383,King Mongkut?s Institute of Technology Ladkrabang Research Fund,Thailand
4386,Thammasat University Rangsit,Thailand
4391,TBRC-BIOTEC,Thailand
4393,TWAD,India
4394,Ratchadapisek Sompoch Endowment Fund Thailand Research Fund Office of the Higher Education Commission Chulalongkorn University Royal Government of Thailand Development and Promotion of Science and Technology Talents Project Thailand Research Fund Science and Engineering Research Board Association of Southeast Asian Nations,Thailand
4395,SERB-DST,India
4397,Huddersfield Business School,United Kingdom
4401,National Health Examination Survey V Thailand,Thailand
4402,Johnson and Johnson Philippines Inc.,Philippines
4403,BioNTech,Germany
4404,CIVIC,United States
4406,NIAID Collaborative Influenza Vaccine Innovation Centers,United States
4408,National Kidney Foundation of Thailand,Thailand
4409,Chulalongkorn Center of Excellence for Parkinson’s disease and Related Disorders,Thailand
4411,Elanco Animal Health (Spain) Limited,Spain
4416,"Center of Excellent for Pediatric Infectious Diseases and Vaccines, Faculty of Medicine, Chulalongkorn University",Thailand
4417,"Department of Microbiology, Faculty of Medicine, Chulalongkorn University",Thailand
4418,Defense Technology Institute,Thailand
4420,Chulalongkorn University Ratchadapiseksomphot Endowment Fund,Thailand
4423,Cooperative Research Program of ‘‘Network Joint Research Center for Materials and Devices,Japan
4425,Love Wildlife Foundation Thailand,Thailand
4429,NIEHS CEED,United States
4430,"Sasin School of Management, Chulalongkorn University",Thailand
4432,"CEVA Animal Health, Thailand",Thailand
4433,Chulalongkorn University Social Research Institute,Thailand
4434,"Biorefinery Cluster, Chulalongkorn University",Thailand
4436,Australian Research Council Centre of Excellence Program,Australia
4440,Forest and Wildlife Research Center,United States
4442,Ezaki Glico Co. Ltd.,Japan
4444,Thai FDA,Thailand
4445,"John Innes Centre, UK",United Kingdom
4446,Chinese Physical Society,China
4447,"Formas, Future Forests",Sweden
4450,Advanced Computing Initiative,United States
4451,American Psychological Society,United States
4452,Dominican University,United States
4453,Eesti Teadusagentuur–Estonian Research Council,Estonia
4454,Japan Society for the Promotion of Science Grants-in-Aid for Scientific Research,Japan
4455,Leibniz Institute for Psychology,Germany
4456,Lorraine Université d’Excellence,France
4457,University of Wroclaw,Poland
4458,Wisconsin Institutes for Discovery,United States
4459,ThisresearchisfundedbyChulalongkorn University,Thailand
4461,Lampang Hospital,Thailand
4463,Somdejprapinklao Hospital,Thailand
4464,Chulalongkorn University Second Century Fund,Thailand
4465,AbbVe,United States
4466,Alzheimer's UK,United Kingdom
4468,European Union's (EU,Belgium
4469,German Federal Ministry of Education of Research,Germany
4470,H2020 research and innovation program,The European Union
4472,Innovative Medicines Initiative 2 Joint Undertaking,European Union
4475,Kasetsart University Research and Devel‐ opment Institute,Thailand
4476,"Nippon Koei Co., Ltd",Japan
4479,Royal University of Phnom,Cambodia
4481,"Department of Obstetrics and Gynecology, University of South Florida Morsani College of Medicine",United States
4482,Maha Chakri Sirindhorn Clinical Research Center,Thailand
4483,Meat Inspection Office of Kitakyushu City,Japan
4484,"Biostatistics Excellence Centre, Faculty of Medicine, Chulalongkorn University",Thailand
4485,100 Anniversary Chulalongkorn University,Thailand
4488,Britannia Pharmaceuticals and Stada,United Kingdom
4489,Thailand.Chulalongkorn Centre of Excellence for Parkinson's Disease and Related Disorders,Thailand
4490,Ratchadaphiseksomphot Endowment Fund for the Natural Products for Ageing,Thailand
4491,Thailand and Agricultural Research Development Agency,Thailand
4493,Ratchada-pisek Sompoj Endowment Fund,Thailand
4494,Bay Area Water Quality,United States
4495,"Department of Landscape Architecture and Environmental Planning, University of California, Berkeley",United States
4496,National University of Singapore Flagship Green Energy Program,Singapore
4497,Thailand Science Research and Innovation Fund Chulalongkorn University CU_FRB65_food,Thailand
4499,Fujian General program,China
4501,European Research Council Innovative Medicines Initiative,Belgium
4503,UK Research and Innovation Future Leaders Fellowship,United Kingdom
4504,"Malaysian Ministry of Higher Education, Universiti Sains Malaysia",Malaysia
4506,Chaipattana Foundation's Bengal Goat Domestication Project,Thailand
4507,"Chaipattana Foundation, Chiang Rai province",Thailand
4508,"Doi Tung, Chiang Rai province",Thailand
4509,Forestry Research Institute of Nigeria,Nigeria
4511,"Verasuwan Co., Ltd.",Thailand
4512,Baxter Corporation Canada,Canada
4513,Ontario Medical Supply Inc.,Canada
4515,Saudi Arabian Cultural Bureau in Canada,Canada
4516,Singapore Health Manpower Development Plan,Singapore
4517,State of Colorado Department of Health and Environment,United States
4518,"TRF Research Career Development Grant, Thailand Research Fund",Thailand
4520,Gilead Sciences and Merck,United States
4521,Thai Governmental Pharmaceutical Organization,Thailand
4522,Xi’an Yufan Biotechnologies,China
4524,NSFC-RSF,China
4525,National Natural Science Foundation of China-Russian Science Foundation,China
4530,Aggeu Magalhães Institute,Portugal
4532,"Department of Internal Medicine, Siriraj Hospital",Thailand
4533,"Department of Internal Medicine, Taksin Hospital",Thailand
4534,"Department of Medicine, Chaophya Abhaiphubejhr Hospital",Thailand
4538,Chiangmai University,Thailand
4539,Office of the Narcotics Control Board,Thailand
4540,"Faculty of Medicine and Center of Excellence in Pediatric Infectious Diseases and Vaccines, Chulalongkorn University",Thailand
4541,"Faculty of Medicine and Research Institute for Health Sciences, Chiang Mai University",Thailand
4543,"Walailak University, Thailand",Thailand
4544,"Austrian Federal Ministry of Education, Science",Austria
4545,"Croatian Ministry of Science, Education, and Sport",Croatia
4546,General Secretariat for Research and Innovation,Greece
4547,"Secretariat for Higher Education, Science, Technology, and Innovation",Ecuador
4550,Yale University West Campus,The United States
4551,Centre for Translational Biodiversity Genomics,Canada
4552,LOEWE-TBG,Germany
4555,National Energy Technology Center,United States
4558,"Graduate School and Faculty of Engineering, Chulalongkorn University",Thailand
4560,Convocatoria Ciencia Básica SEP-CONACyT,Mexico
4561,Posgrado en Ciencias Biológicas UNAM,Mexico
4562,RSPG Chula,Thailand
4563,Association of Collegiate Schools of Architecture,United States
4564,DGIST R&D Program,South Korea
4565,Universities of Ca’ Foscari and Trieste,Italy
4566,Kasetsart University Reinventing University,Thailand
4567,National Council of Thailand,Thailand
4568,Tsukuba Innovation Arena,Japan
4569,Thailand Science research and Innovation Fund Chulalongkorn University,Thailand
4570,Gilead Sciences Australia,Australia
4571,NSW,Australia
4572,"Office of the Permanent Secretary for Higher Education, Science, Research and Innovation , Thailand",Thailand
4573,Asia Cement Public Company Limited,Thailand
4574,Ton Duc Thang University,Vietnam
4575,Chulalongkorn University's CUniverse,Thailand
4578,"Cognitive Fitness Center, Chulalongkorn Hospital",Thailand
4583,Thailand Science Research and Innovation Fundamental Fund,Thailand
4584,National Natural Science Foundation of Hubei Province of China,China
4588,"Obstetrics and Gynecology Department at Faculty of Medicine, Chulalongkorn University",Thailand
4590,Mahasarakham University Development Fund,Thailand
4591,Chaipattana Foundation’s Bengal Goat Domestication Project,Thailand
4592,"Doi Tung, Chiang Rai Province",Thailand
4593,Ci?ncia e a Tecnologia,Portugal
4595,"Soil Mechanics Laboratory, University of Bengkulu",Indonesia
4596,"Office of the Permanent Secretary for Higher Education, Science, Research and Innovation",Thailand
4601,"Department of Traditional Medicine, Ministry of Health and Sports",Myanmar
4602,Yamazaki Spice Promotion Foundation,Japan
4603,Marie-Curie Program,European Union
4604,Programa Severo Ochoa del Principado de Asturias,Spain
4610,Center of Excellence in Clinical Virology of Chulalongkorn University/King Chulalongkorn Memorial Hospital,Thailand
4611,"Office of the Permanent Secretary for Higher Education, Science, Research and Innovation, Thailand",Thailand
4612,Thailand and Energy Research Institute,Thailand
4614,Khonkaen University,Thailand
4616,Inner Mongolia Medical University,China
4619,Prachuap Khiri Khan province,Thailand
4620,Chulalongkorn University CUniverse,Thailand
4621,Fostering Program in Disciplines Possessing Novel Features for Natural Science of Sichuan University,China
4622,Alfred Wegener Institut-Helmholtz Zentrum für Polar- und Meeresforschung,Germany
4624,China-Indonesia Maritime Cooperation Fund,China
4627,Foundation of Thai Gerontology Research and Development Institute,Thailand
4629,Chonburi Hospital,Thailand
4630,"Chula Medical Innovation Center, Faculty of Medicine, Chulalongkorn University, Thailand Research Fund",Thailand
4631,Operation Smile Foundation Thailand,Thailand
4633,Siam Chemical Industry,Thailand
4634,National Decommissioning Centre,United Kingdom
4635,Net Zero Technology Centre,United Kingdom
4637,"IRIDeS, Tohoku University",Japan
4638,Thailand Science Research and Innovation Fund Chulalongkorn University CU_FRB65_dis,Thailand
4640,Thai Asthma Council,Thailand
4641,Nippon Sheet Glass 2021,Japan
4643,Chulalongkorn University for Vu Thi Thanh Huong,Thailand
4645,"Toyota Motor Thailand Co., Ltd.",Thailand
4646,Mahidol University Frontier Research Facility,Thailand
4647,Fiona Elizabeth Agnew Trust,United Kingdom
4648,Genomics England,United Kingdom
4649,Intensive Care National Audit and Research Centre,United Kingdom
4650,NHS Digital,United Kingdom
4651,NIHR CRN,United Kingdom
4652,Roslin Institute,United Kingdom
4654,TIO-UM Cooperation Fund,Brazil
4655,"International Research Institute of Disaster Science, Tohoku University",Japan
4656,National Quantum Information Science Research Centers,United States
4657,National Brain Appeal Organisation and Alzheimer?s Research UK,United Kingdom
4658,US Department of Energy Office of High,United States
4660,Toyota Mobility Foundation,Japan
4661,Malaysia-Thailand Joint Authority (MTJA) Research Cess Fund,Malaysia
4663,Chulalongkorn University's Faculty of Medicine in Bangkok,Thailand
4664,Scientific and Technological Innovation Foundation of Shunde Graduate School,China
4665,Nantong University Medical School,China
4666,Start-up Foundation of Nantong University,China
4668,Siteman Cancer Center Small Animal Cancer Imaging,United States
4669,St. Louis Children’s Hospital,United States
4670,"Washington University School of Medicine, The Children’s Discovery Institute of Washington University",United States
4673,Graduate Innovation Program of Ningxia University,China
4675,Caraway Therapeutics,United States
4678,Excellus BlueCross BlueShield,United States
4679,Huntington Study Group,United States
4681,Physicians Education Resource,United States
4683,Sunovion Pharma,United States
4684,Texas Neurological Society,United States
4685,"Thailand Science Research and Innovation, Thailand Research Fund",Thailand
4686,Tourette Syndrome Association of America,United States
4691,Emory’s Laney Graduate School,United States
4692,National Institutes of HealthNational Institute of Environmental Health Sciences,United States
4694,Thailand National Nanotechnology Centre,Thailand
4695,International Institute for Trade and Development,Thailand
4697,Biomerieux,France
4699,Centre for Addiction Studies,Canada
4700,NIH HHS,United States
4701,Grants-in-Aid for Scientific Research,Japan
4702,Nippon Sheet Glass Foundation,Japan
4705,King Mongkut’s University of Technology Thonburi and Mithran Somasundrum,Thailand
4706,Chulalongkorn University King Chulalongkorn Memorial Hospital,Thailand
4707,HAUS,Germany
4708,Beijing Ditan Hospital,China
4709,National Centre for Infectious Diseases,Singapore
4711,Singapore Ministry of Health’s,Singapore
4716,University of Melbourne Dame Kate Campbell Fellowship,Australia
4718,High-level Talents Special Support Plan of Chongqing,China
4720,Natural Science Foundation Project of China,China
4721,Non-profit Central Research Institute Fund of Chinese Academy of Medical Sciences,China
4724,"School of Science, University of Phayao",Thailand
4726,"Department of Aquaculture, Faculty of Fisheries, Kasetsart University",Thailand
4728,ANR Labex IAST,France
4729,Key Technological Projects of Guangdong Province,China
4732,Portuguese National Foundation for Science and Technology,Portugal
4735,Royal Irrigation Department of Thailand,Thailand
4737,100th Chulalongkorn University for Doctoral Scholarship,Thailand
4738,National Higher Education Science Research and Innovation Policy Council,Thailand
4740,Universitas Mulawarman,Indonesia
4743,"Faculty of Medicine Siriraj Hospital, Mahidol University and Center of Excellence in Pediatric Infectious Diseases and Vaccines",Thailand
4744,"Amino Up Co., Ltd.",Japan
4745,Ratchadapisek Sompach Endowment Fund,Thailand
4746,Governments of Korea,South Korea
4747,International Vaccine Institute,South Korea
4751,"Microbiology at the Faculty of Dentistry, Chulalongkorn University",Thailand
4754,Krabi Hospital,Thailand
4758,Udonthani Hospital,Thailand
4761,KMUST,South Korea
4764,CONICYT-FONDECYT,Chile
4766,"Silpakorn University Research, Innovation and Creative Fund",Thailand
4767,"Srinakharinwirot University, Thailand",Thailand
4768,"Faculty of Dentistry, Prince of Songkla University",Thailand
4769,CAT-REC,India
4770,Malaysia-Thailand Joint Authority Research Cess Fund Project,Malaysia
4771,Hunan Provincial Natural Science Foundation of China for Excellent Young Scholars,China
4773,CMKL,Thailand
4774,Centre of Excellence in Clinical Virology of Chulalongkorn University/King Chulalongkorn Memorial Hospital,Thailand
4775,Thailand Science Research and Innovation Fund Chu-lalongkorn University,Thailand
4776,"Oral Biology Research and Dental Materials R&D Center, Faculty of Dentistry, Chulalongkorn University",Thailand
4777,Dutch Science Foundation and Health Holland,The Netherlands
4778,University of Maribor/Slovenia,Slovenia
4779,"King Chulalongkorn Memorial Hospi-tal/Faculty of Medicine, Chulalongkorn University",Thailand
4780,"King Chulalongkorn Memorial Hospital/Faculty of Medicine, Chulalongkorn University",Thailand
4781,"Ratchadaphiseksomphot Endowment Fund of the Faculty of Medicine, Chulalongkorn University",Thailand
4784,Office of Disease Prevention and Control,United States
4787,Rachadapiseksompoch Fund,Thailand
4791,"Faculty of dentistry, Chiang Mai University",Thailand
4792,Thailand Science Research and Innovation Fund Chulalongkorn University CU_FRB65_hea,Thailand
4793,Coordinación de la Investigación Científicade la Universidad Michoacana,Mexico
4794,"Department of Civil and Environmental Engineering, Universitas Gadjah Mada",Indonesia
4795,"Ministry of Economic Affairs , Taiwan",Taiwan
4798,Ingevity Corp.,United States
4799,Chulalongkorn University Center of Excellence in Systems Biology and Chulalongkorn Academic Advancement,Thailand
4800,"Department of Virology, Faculty of Veterinary Medicine Chulalongkorn University",Thailand
4801,National Primate Research Center of Thailand-Chulalongkorn University,Thailand
4802,American Ophthalmology Society,United States
4803,Asia-Pacific Myopia Society,Singapore
4806,British and Eire Association of Vitreoretinal Surgeons,United Kingdom
4807,China Ophthalmology Society,China
4808,Chinese American Association of Ophthalmology,United States
4812,Hong Kong Ophthalmological Society,Hong Kong
4814,Israel Ophthalmology Society,Israel
4815,Japanese Vitreo-retinal Society,Japan
4816,Korean Ophthalmology Society,South Korea
4817,New Zealand College of Ophthalmologists,New Zealand
4818,Royal College of Ophthalmologists of Thailand,Thailand
4819,Switzerland Ophthalmology Society,Switzerland
4820,Vitreoretinal Society of India,India
4822,Military Medicine Inc.,United States
4825,American Board of Allergy and Immunology,The United States
4827,"Danone Nutricia Research , Utrecht",Netherlands
4828,Danone Nutricia Research employee,The Netherlands
4829,"Danone Nutricia Research, Utrecht",Netherlands
4830,FPIES Association,United States
4832,KCL Allergy Academy,United Kingdom
4834,"National Institute of Allergy and Infectious Disease, Food Allergy Research and Education",United States
4835,Nutricia North America,United States
4837,trustee of Allergy UK,United Kingdom
4838,Chilean Ministry of Education,Chile
4839,Chulalongkorn Universityâ€™s CUniverse,Thailand
4840,Guangxi Pioneer of Animal Science and Technology,China
4841,Guangxi Special Fund for Invited Expert,China
4843,Department of Microbiology at King Chulalongkorn Memorial Hospital,Thailand
4844,Illinois-Eastern Iowa District,United States
4845,Kiwanis Neuroscience Research Foundation,United States
4846,Neuroscience Research Foundation of Kiwanis International,United States
4847,SIU HealthCare,United States
4848,National research Facilities and Equipment Center,Australia
4849,Southern Taiwan Science Park Bureau,Taiwan
4850,Bharath University,India
4851,"Centre for Materials Engineering and Regenerative Medicine, Bharath Institute of Higher Education and Research",India
4852,Karpagam Academy of Higher Education,India
4853,Karpagam University,India
4854,Mahidol University-Multidisciplinary Research Center,Thailand
4855,Myanmar and Australia,Myanmar: None  \nAustralia: Australia
4856,"Ratchadaphiseksomphot Endowment Fund from Faculty of Medicine, Chulalongkorn University",Thailand
4858,"Program Unit for Human Resources & Institutional Development, Research and Innovation, Thailand",Thailand
4859,"Sathyabama Institute of Science and Technology, Chennai, India",India
4861,UTFPR-PB,Brazil
4863,Children's Thalassaemia Foundation of Hong Kong,Hong Kong
4864,Children’s Thalassaemia Foundation of Hong Kong,Hong Kong
4866,Ratchadaphiseksomphot Endowment Fund for Center of Excellence in Natural Products for Ageing and Chronic Diseases,Thailand
4870,American Journal Experts,United States
4871,Endowment Fund Chulalongkorn University,Thailand
4875,Research Instrument Center Khon Kaen University,Thailand
4876,Rajamangala University of Technology Tawan-Ok,Thailand
4877,Rajamangala University of Technology Tawan-Ok Fund,Thailand
4878,United States Space Force,United States
4879,Indonesia Ministry of Research and Technology,Indonesia
4880,RatchadapisekSomphot Fund,Thailand
4881,"Department of Medicine, King Taksin Memorial Hospital",Thailand
4882,"Thailand Science Research and Innovation Fund Chulalongkorn University, Thailand",Thailand
4883,Kalasalingam Academy of Research and Education,India
4884,acknowledged Science and Engineering Research Board,India
4885,Spanish Ministry for Science and Innovation,Spain
4887,"Department of Botany, Faculty of Science and Department of Soil Science, Faculty of Agriculture, Kasetsart University",Thailand
4888,"Faculty of Science,Kasetsart University",Thailand
4889,Mae Moh Mine and Electricity Generating Authority of Thailand,Thailand
4894,"National Institute of Technology, Kurume College",Japan
4895,Department of Diseases Control,Thailand
4896,"National Vaccine Institute, Thailand",Thailand
4897,"Research Center in Bioresources for Agriculture, Industry and Medicine and Faculty of Science, Chiang Mai University",Thailand
4901,PJ Chonburi Parawood Co. Ltd,Thailand
4902,"PJ Chonburi Parawood Co., Ltd.",Thailand
4903,University of Sopron,Hungary
4905,"Center of Excellence in Materials Science and Technology, Faculty of Science, Chiang Mai University",Thailand
4906,"Laboratory of Aquatic Animal Health Management, Department of Aquaculture, Faculty of Fisheries, Kasetsart University",Thailand
4909,"Collaborative Innovation of Industry, University and Research Institute Major Program of Guangzhou",China
4910,Fang SC in Nanjing Chest Hospital,China
4911,FundamentalResearchFundsfortheCentral Universities,China
4912,ThisworkwassupportedbytheMinistry ofScienceandTechnologyofChina,China
4913,ofJiangsuProvince,China
4916,China Association for International Education,China
4917,China Education Association for International Exchange,China
4920,Thammasat Postdoctoral Fellowship,Thailand
4921,Thammasat University Research Division,Thailand
4922,"Center for Incubation, Innovation, Research and Consultancy",India
4923,SSSIHL-CRIF,India
4924,"Department of Biotechnology, Stella Maris College",India
4926,"Faculty of Science, Thailand Science research and Innovation Fund Chulalongkorn University",Thailand
4927,Wissenschaftliche Gesellschaft Freiburg im Breisgau,Germany
4928,Agricultural Research Development Agency of Thailand,Thailand
4929,MKW NRW Forschungskolleg Future Water,Germany
4930,Zentrum für Wasser-und Umweltforschungs,Germany
4931,Nutrilite Health Institute Wellness Fund,United States
4932,Stanford Thailand Research Consortium,Thailand
4933,Stanford Wellness Living Laboratory,United States
4935,"Helmut Fischer (Thailand) Co., Ltd.",Thailand
4937,Innovation fund Chulalongkorn University,Thailand
4938,Thailand Science research,Thailand
4941,"Research Affairs and Faculty of Engineering, Chulalongkorn University",Thailand
4942,"Chulalongkorn University Laboratory Animal Center, Scientific and Technological Research Equipment Centre",Thailand
4943,Office of National Research Council of Thailand,Thailand
4944,"Faculty of Medicine, Chula-longkorn University",Thailand
4945,Medical Innovation Fund,United Kingdom
4947,Yeast Genetics Resource Center,United States
4948,Invention Chulalongkorn University,Thailand
4949,Ratchadapisek Sompotch Foundation,Thailand
4953,"Kasetsart University, Thailand",Thailand
4954,NPRCT‐CU,Thailand
4955,National Research University-Kasetsart University,Thailand
4956,National Research University‐Kasetsart University,Thailand
4957,Ratchadapisek Somphot Fund for Artificial Intelligence,Thailand
4958,State of Texas Rare and Aggressive Breast Cancer Research Program,United States
4960,Janssen-Cilag International,Belgium
4965,Blueqat Inc.,Japan
4966,Thailand Science research and Innovation fund Chulalongkorn University,Thailand
4968,Fundamental Fund of Khon Kaen University,Thailand
4971,State Committee for Science and Technology of the Republic of Belarus,Belarus
4972,Sasin School of Management,Thailand
4973,Brunel University,United Kingdom
4974,"California Institute of Technology , Pasadena",United States
4975,"California Institute of Technology, Pasadena",United States
4976,"European Organization for Nuclear Research , Geneva",Switzerland
4977,"European Organization for Nuclear Research, Geneva",Switzerland
4978,"Fermi National Accelerator Laboratory , Batavia",United States
4979,"Fermi National Accelerator Laboratory, Batavia",United States
4980,INFN CNAF,Italy
4981,INFN Sezione di Bari,Italy
4982,"INFN Sezione di Pisa, Universit?",Italy
4983,INFN Sezione di Roma,Italy
4984,"INFN Sezione di Roma, Sapienza Universit?",Italy
4985,Institut Pluridisciplinaire Hubert Curien,France
4986,Institut Polytechnique de Paris,France
4987,Institut de recherche sur les lois fondamentales de l'Univers,France
4988,"Institut de recherche sur les lois fondamentales de l'Univers, CEA",France
4989,Institut für Hochenergiephysik,Austria
4990,Instituto de F?sica de Cantabria,Spain
4991,Instituto de Física de Cantabria,Spain
4993,Kharkov Institute of Physics and Technology,Ukraine
4994,La Jolla,United States
4995,National Centre for Physics,Pakistan
4996,National Scientific Center,Ukraine
4997,Pittsburgh,The United States
4998,Pittsburgh Supercomputing Center,United States
4999,Politecnico di Bari,Italy
5000,S?o Paulo Research and Analysis Center,Brazil
5001,Swiss National Supercomputing Centre,Switzerland
5002,São Paulo Research and Analysis Center,Brazil
5003,Texas Advanced Computing Center,United States
5004,"University of Wisconsin - Madison, Madison",United States
5005,Università di Bari,Italy
5007,Chulalongkorn University Dussadeepipat Scholarship,Thailand
5008,Charoen Pokphand Foods,Thailand
5012,Center for Excellence in Omics-Nano Medical Technology Development Project Chulalongkorn University,Thailand
5013,"MitoQ Limited, New Zealand",New Zealand
5015,Department of Health Government Development Fund,United Kingdom
5017,Nong Prue Sub-District Health Promoting Hospital,Thailand
5021,Faculty of Dentistry Chulalongkorn University,Thailand
5022,National Medical Research Council Singapore,Singapore
5024,Aditya Birla Chemical (Thailand),Thailand
5027,"Ministry of Education, Science, Research and Innovation",Thailand
5029,Ubonratchathani University,Thailand
5031,Animal Pathogen Research Unit,United States
5034,EU-Horizon,European Union
5035,Baxter Health Care Canada,Canada
5036,100thAnniversary Chulalongkorn University for Doctoral Scholarship,Thailand
5037,Tokyo Metropolitan Government Advanced Research,Japan
5038,"Center of Excellence in Clinical Virology, Faculty of Medicine, King Chulalongkorn Memorial Hospital",Thailand
5039,King Mongkut’s,Thailand
5042,South Ural State University,Russia
5045,Phrapokklao Hospital Donation Fund,Thailand
5046,Sirivadhanabhakdi Foundation,Thailand
5047,Foundation for Cancer Care,United States
5048,SiCORE for Systems Pharmacology Faculty of Medicine Siriraj Hospital Mahidol University,Thailand
5051,Citius Pharmaceuticals,United States
5053,Massachusetts Executive Office of Energy and Environmental Affairs,United States
5054,Massachusetts Interscholastic Athletic Association,United States
5055,Teradyne Inc,The United States
5057,Chulalongkorn University-ASEAN Scholarship 2020,Thailand
5058,Sci-Super VII,United Kingdom
5059,Alfa Sigma Italy,Italy
5061,Ratchadaphiseksomphot Endowment Fund and Veterinary Science Research Fund,Thailand
5062,Hunan Provincial Social Science Committee,China
5063,Scientific Research Fund of Hunan University of Science and Technology,China
5064,German Jose Carreras Leukemia Foundation,Germany
5068,Hunan Key R&D Program Project,China
5069,Royal College Pediatricians of Thailand,Thailand
5071,Ratchdaphiseksompot Endowment Fund,Thailand
5073,"Beiersdorf (Thailand) Co., Ltd.",Thailand
5074,National Omics Center,South Korea
5078,Chulalongkorn University‐Veterinary Science Research Fund,Thailand
5080,Naresuan University Research,Thailand
5081,Newton Fund-TRF,United Kingdom
5082,Thailand National and Materials Technology Center,Thailand
5085,American Society of Onconephrology,United States
5086,Foundations Commission of University of Heidelberg,Germany
5088,Program of Philosophy and Social Science Foundation of Yunnan Province,China
5089,Yunnan Provincial Department of Education Research Fund,China
5090,Mitsubishi UFJ Trust Scholarship Foundation,Japan
5094,Japan International Cooper-ation Agency,Japan
5095,Land Development Department,Thailand
5096,Royal Irrigation Department,Thailand
5097,"Rachadapiseksompoch Fund for the Center of Excellence in Neurogastroenterology and Motility, Faculty of Medicine, Chulalongkorn University",Thailand
5098,Ceteau (Thailand) Ltd.,Thailand
5099,Mitigation of Marine Plastic Pollution in the Philippines,Philippines
5101,"National Research Foundation , Prime Minister’s Office",Singapore
5102,"National Research Foundation, Prime Minister's Office",Singapore
5107,Amity University Uttar Pradesh,India
5108,"College of Medicine, Qassim University",Saudi Arabia
5110,National Science Museum Thailand,Thailand
5112,China Outstanding Engineer Training Plan for Students of Chemical Engineering & Technology in Hunan University,China
5114,International Association of Providers of AIDS Care,United States
5115,Ratchadaphiseksomphot Endowment Fund of Hepatic Fibrosis,Thailand
5116,Ratcha-dapisek Sompoch Endowment Fund,Thailand
5118,Faculty of Humanities Mahachulalongkornrajavidyalaya University,Thailand
5119,Office of the Higher Education Policy,United States
5120,"Science, Research and Innovation National Council",Italy
5121,Thailand Science research and Innovation Fund Chulalongkorn University CU_FRB65_dis,Thailand
5126,"Office of National Higher Education, Science, Research and Innovation Policy Council",Thailand
5129,"Department of Chemistry and Scientific Equipment Center, Faculty of Science, Kasetsart University",Thailand
5131,"Graduate School of Energy Science, Kyoto University",Japan
5133,Western Digital (Thailand) Co. Ltd,Thailand
5134,Siriraj Foundation for Stem Cell Research,Thailand
5135,"CHERDCHAI CORPORATION Co.,Ltd.",Thailand
5139,Marsden Fund New Zealand,New Zealand
5140,"Department of Electrical Engineering, Chulalongkorn University",Thailand
5141,"Faculty of Allied Health Sciences, Chulalongkorn University",Thailand
5142,"Faculty of Medicine, Chulalongkorn University",Thailand
5143,"Faculty of Science, Chulalongkorn University",Thailand
5144,Cawthron Institute,New Zealand
5145,MU College of Health,United States
5146,National Science Challenge,New Zealand
5148,INTI International University,Malaysia
5149,"Negeri Sembilan, Malaysia",Malaysia
5151,AFHSC-GEIS,United States
5152,Armed Forces Health Surveillance Center,United States
5153,Division of Global Emerging Infections Surveillance,United States
5154,NIAID-CREID,United States
5155,Shuang Ho Hospital,Taiwan
5158,Thailand Science Research and Innovation and Chulalongkorn University,Thailand
