Agency_Name,Mapped_Name,Country
Ministry of Science and Technology,"Department of Science and Technology, Ministry of Science and Technology",Viet Nam
Ministry of Science and Technology,"Department of Science and Technology, Ministry of Science and Technology",China
"Ministry of Science and Technology , Thailand",Thailand National Organization,Thailand
Ministry of Science and Technology Funding information,Ministry of Science and Technology Funding information,China
Ministry of Science and Technology in Taiwan,Ministry of Science and Technology in Taiwan,Taiwan
Ministry of Science and Technology in the Republic of Korea,Ministry of Science and Technology in the Republic of Korea,South Korea
Ministry of Science and Technology of China,Ministry of Science and Technology of China,China
Ministry of Science and Technology of Royal Thai government,Thailand National Organization,Thailand
Ministry of Science and Technology of Taiwan,Ministry of Science and Technology in Taiwan,Taiwan
Ministry of Science and Technology of Taiwan Government,Ministry of Science and Technology of Taiwan Government,Taiwan
Ministry of Science and Technology of Thailand,Thailand National Organization,Thailand
Ministry of Science and Technology of Thailand and Thaksin University of Thailand,Ministry of Science and Technology of Thailand and Thaksin University,Thailand
Ministry of Science and Technology of the People's Republic of China,Ministry of Education of the People's Republic of China,China
"Ministry of Science and Technology, Republic of China (Taiwan)","Ministry of Science and Technology, Republic of China (Taiwan)",Taiwan
"Ministry of Science and Technology, Taiwan",Ministry of Science and Technology in Taiwan,Taiwan
"Ministry of Science and Technology, Taiwan , Republic of China","Ministry of Science and Technology, Republic of China (Taiwan)",Taiwan
"Ministry of Science and Technology, Taiwan, Republic of China","Ministry of Science and Technology, Republic of China (Taiwan)",Taiwan
"Ministry of Science and Technology, Thailand",Thailand National Organization,Thailand
"Ministry of Science and Technology, Thailand, the Thailand Research Fund",Thailand National Organization,Thailand
Ministry of Science of Montenegro,Ministry of Science of Montenegro,Montenegro
Ministry of Science of the Republic of Colombia,Ministry of Science of the Republic of Colombia,Colombia
"Ministry of Science, ICT",Ministry of Science and ICT,South Korea
"Ministry of Science, ICT & Future Planning",Ministry of Science ICT and Future Planning,South Korea
"Ministry of Science, ICT and Future Planning",Ministry of Science ICT and Future Planning,South Korea
"Ministry of Science, ICT, and Future Planning",Ministry of Science ICT and Future Planning,South Korea
"Ministry of Science, Research and Technology of Iran and University of Tehran","Ministry of Science, Research and Technology of Iran and University",Iran
"Ministry of Science, Technology and Innovation",Ministry of Science and Innovation,Brazil
"Ministry of Science, Technology and Innovation of Malaysia","Ministry of Science, Technology and Innovation of Malaysia",Malaysia
"Ministry of Science, Technology and Research, Sri Lanka","Ministry of Science, Technology and Research, Sri Lanka",Sri Lanka
"Ministry of Science, Technology and Telecommunications of Costa Rica","Ministry of Science, Technology and Telecommunications of Costa Rica",Costa Rica
Ministry of Sciences and Technology,Ministry of Sciences and Technology,China
"Ministry of Trade, Industry & Energy","Ministry of Trade, Industry & Energy",South Korea
"Ministry of Trade, Industry and Energy","Ministry of Trade, Industry & Energy",South Korea
"Ministry of Trade, Industry, and Energy of Korea government","Ministry of Trade, Industry, and Energy of Korea government",South Korea
Ministry of Transport,Ministry of Transport,China
"Ministry of Work and Social Affairs, Institute of Women, Spain","Ministry of Work and Social Affairs, Institute",Spain
"Ministry of energy, Thailand",Thailand National Organization,Thailand
Ministry of the Environment,Ministry of the Environment,China
Ministry of the Environment,Ministry of the Environment,Japan
"Ministry of the Environment , Japan","Ministry of the Environment , Japan",Japan
"Ministry of the Environment, Japan","Ministry of the Environment , Japan",Japan
"Ministry ofEducation, Culture, Sports","Ministry ofEducation, Culture, Sports",Japan
Ministère de l'Enseignement Supérieur et de la Recherche Scientifique,Ministère de l'Enseignement Supérieur et de la Recherche Scientifique,France
Ministère de la Santé,Ministère de la Santé,Tunisia
Ministère de l’Enseignement Supérieur de la Recherche et de l’Innovation,Ministère de l'Enseignement Supérieur et de la Recherche Scientifique,France
"Ministère de l’Enseignement Supérieur, de la Recherche et de l’Innovation",Ministère de l'Enseignement Supérieur et de la Recherche Scientifique,France
Ministério da Educação,Ministério da Educação,Brazil
Miriam Marks Brain Research UK,Miriam Marks Brain Research UK,United Kingdom
Mississippi State Department of Health,Mississippi State Department of Health,United States
Mississippi State University,Mississippi State University,United States
Missouri University of Science and Technology,Missouri University,The United States
Missouri University of Science and Technology,Missouri University,United States
Mistra Centre for Sustainable Markets in November 2020,Mistra Centre for Sustainable Markets in November 2020,Sweden
Mistra Centre for Sustainble Markets,Mistra Centre for Sustainble Markets,Sweden
"MitoQ Limited, New Zealand","MitoQ Limited, New Zealand",New Zealand
Mitsubishi Materials Corporation,Mitsubishi Materials Corporation,Japan
Mitsubishi UFJ Trust Scholarship Foundation,Mitsubishi UFJ Trust Scholarship Foundation,Japan
Mitsui Sumitomo Insurance Welfare Foundation,Mitsui Sumitomo Insurance Welfare Foundation,Singapore
Miyakawa Memorial Research Foundation,Miyakawa Memorial Research Foundation,Japan
Mizoram Forest Department for research permission,Mizoram Forest Department for research permission,India
MoST,MOST,South Korea
MoST,MOST,Taiwan
MoST,MOST,China
MoSTR,MOSTR,Sri Lanka
Mochida Memorial Foundation for Medical and Pharmaceutical Research,Mochida Memorial Foundation,Japan
Modern Agricultural and Industrial Park for Anxi County in Fujian Province,Modern Agricultural and Industrial Park for Anxi County in Fujian Province,China
Monahan Foundation,Monahan Foundation,United States
Monash University,Monash University,Australia
Monash University Institute of Graduate Research,Monash University,Australia
Monash University Malaysia,Monash University,Malaysia
"Monash University, Australia",Monash University,Australia
Monoclonal Antibody Production and Application Research Team,Thailand National Organization,Thailand
Montha Jankramol,Thailand National Organization,Thailand
Montreal Children's Hospital,Montreal Children's Hospital,Canada
Moonlight Therapeutics,Moonlight Therapeutics,United States
Mountain Equipment Co-op,Mountain Equipment Co-op,Canada
Mountain Equipment Co-operative,Mountain Equipment Co-operative,Canada
Movement Disorders Society,Movement Disorders Society,United States
Mubadala Petroleum,Mubadala Petroleum,United Arab Emirates
Mubadala Petroleum (Thailand) Limited,Thailand National Organization,Thailand
Mukdahan Hospital,Thailand National Organization,Thailand
Mulawarman University,Mulawarman University,Indonesia
"Multidisciplinary platform of Advanced Engineering, Electrical and Computer Systems Engineering Discipline",Thailand National Organization,Thailand
Munich Institute for Astro,Munich Institute,Germany
Municipal Sewage Center of Nagaoka city,Municipal Sewage Center,Japan
Murata Science Foundation,Murata Science Foundation,Japan
Mus?um national d'Histoire naturelle,Mus?um national d'Histoire naturelle,France
Muscular Dystrophy UK,Muscular Dystrophy UK,United Kingdom
Museum of Natural History,Chulalongkorn University,United Kingdom
Muséum national d’histoire naturelle,Muséum national d’histoire naturelle,France
Myanmar and Australia,Myanmar and Australia,Myanmar
Myer Foundation,Myer Foundation,Australia
Médecins Sans Frontières,Médecins Sans Frontières,United States
N ational Science and Technology Development Agency,Thailand National Organization,Thailand
NA-ACCORD,NA-ACCORD,Canada
NAFOSTED,NAFOSTED,Vietnam
NAIST,NAIST,Japan
NANOTEC,Thailand National Organization,Thailand
NANOTEC of Thailand,Thailand National Organization,Thailand
NANOTEC-NCNST,Thailand National Organization,Thailand
NAOJ,NAOJ,Japan
NARIT,Thailand National Organization,Thailand
NARO,NARO,Japan
NARSAD,NARSAD,United States
NASA,NASA,United States
NASA Fire Information for Resource Management System,NASA Fire Information for Resource Management System,United States
NASA Land Cover Land Use Change,NASA Land Cover Land Use Change,United States
NASA’s Solar System Exploration Research Virtual Institute,NASA’s Solar System Exploration Research Virtual Institute,United States
NASU,NASU,Ukraine
NATDA,Thailand National Organization,Thailand
NBRPC,NBRPC,China
NCATS,NCATS,United States
NCBP,NCBP,United States
NCI,NCI,Australia
NCI,NCI,United States
NCI-FCRDC,NCI-FCRDC,United States
NCN,NCN,Poland
NCNP,NCNP,Japan
NCRT,Thailand National Organization,Thailand
NCTU,NCTU,Taiwan
NECTEC,Thailand National Organization,Thailand
NEDO,NEDO,Japan
NEI,NEI,United States
NEKKEN,NEKKEN,Japan
NERC,NERC,United Kingdom
NERC Radiocarbon Facility NRCF010001,NERC Radiocarbon Facility NRCF010001,United Kingdom
NFI Crab Council,NFI Crab Council,United States
NFMRI,NFMRI,Australia
NH&MRC,NH&MRC,Australia
NHBLI,NHBLI,United States
NHGRI,NHGRI,United States
NHLBI,NHLBI,United States
NHM,NHM,United Kingdom
NHMRC,NHMRC,Australia
NHMRC CRE,NHMRC CRE,Australia
NHMUK,NHMUK,United Kingdom
NHS Digital,NHS Digital,United Kingdom
NHS England,NHS England,United Kingdom
NHSBT,NHSBT,United Kingdom
NHSO,Thailand National Organization,Thailand
NIA,NIA,United States
NIA,Thailand National Organization,Thailand
NIAID,NIAID,United States
NIAID Collaborative Influenza Vaccine Innovation Centers,NIAID Collaborative Influenza Vaccine Innovation Center,United States
NIAID Division of Clinical Research,NIAID Division of Clinical Research,United States
NIAID Intramural Research Program,NIAID Intramural Research Program,United States
NIAID Pathogen Functional Genomics Resource Center,NIAID Pathogen Functional Genomics Resource Center,United States
NIAID-CREID,NIAID-CREID,United States
NIBSC,NIBSC,United Kingdom
NIC,NIC,Iran
NICHD,NICHD,United States
NIDA,NIDA,United States
NIDCR,NIDCR,United States
NIEHS,NIEHS,United States
NIEHS/NIH,NIEHS/NIH,United States
NIFA,NIFA,United States
NIGMS,NIGMS,United States
NIH,NIH,United States
NIH Clinical Center,NIH Clinical Center,The United States
NIH Clinical Center,NIH Clinical Center,United States
NIH HHS,NIH HHS,United States
NIH NIDA,NIH NIDA,United States
NIH NIDDK,NIH NIDDK,United States
NIH National Center for Advancing Translational Sciences,NIH National Center,United States
NIH National Institute on Aging,NIH National Institute,United States
NIH Office of the Director of AIDS Research,NIH Office of the Director of AIDS Research,United States
NIH Office of the Director of Research on Women’s Health,NIH Office of the Director of Research on Women’s Health,United States
NIH-NCI,NIH-NCI,United States
NIH-NIEHS,NIEHS/NIH,United States
NIH-S10,NIH-S10,United States
NIH/NCI,NIH-NCI,United States
NIH/NCRR,NIH/NCRR,United States
NIH/NIAID,NIH/NIAID,United States
NIH/NIDCR,NIH/NIDCR,United States
NIH/National Institute of Allergy and Infectious Diseases,NIH/National Institute,United States
NIH/ORIP,NIH/ORIP,United States
NIHGRI,NIHGRI,United States
NIHR,NIHR,United Kingdom
NIHR,NIHR,United States
NIHR Biomedical Research Centre at University College London Hospitals National Health Service Foundation Trust,NIHR Biomedical Research Centre at University,United Kingdom
"NIHR Biomedical Research Centre, Royal Marsden NHS Foundation Trust/Institute of Cancer Research","NIHR Biomedical Research Centre, Royal Marsden NHS Foundation",The United Kingdom
NIHR CRN,NIHR CRN,United Kingdom
NIHR Clinical Research Network Portfolio,NIHR Clinical Research Network Portfolio,United Kingdom
NIHR Oxford Biomedical Research Centre,NIHR Oxford Biomedical Research Centre,United Kingdom
NIHR Rare Disease Translational Research Collaboration,NIHR Rare Disease Translational Research Collaboration,United Kingdom
NIHR Southampton Biomedical Research Centre,NIHR Southampton Biomedical Research Centre,United Kingdom
NIHR UCL,NIHR UCL,United Kingdom
NIHR UCL Biomedical Research Centre,NIHR UCL Biomedical Research Centre,United Kingdom
NIHR UCL/UCLH Biomedical Research Centre,NIHR UCL Biomedical Research Centre,United Kingdom
NIHR UCLH Biomedical Research Centre,NIHR UCLH Biomedical Research Centre,United Kingdom
NIHR Wellcome Trust Southampton Clinical Research Facility,NIHR Wellcome Trust Southampton Clinical Research Facility,United Kingdom
NIHR-RP-R2-12-015,NIHR-RP-R2-12-015,United Kingdom
NILU,NILU,Norway
NIMH,NIMH,United States
NIMHANS,NIMHANS,India
NIMS,NIMS,Japan
NIMT,Thailand National Organization,Thailand
NINDS,NINDS,United States
NINDS/NIMH,NINDS/NIMH,United States
NINS,NINS,Japan
NIPS,NIPS,Japan
NKFIA,NKFIA,Hungary
NKFIH,NKFIH,Hungary
NMB,NMB,United States
NMBA,NMBA,Australia
NME,NME,United Kingdom
NMRC,NMRC,United States
NMRC,NMRC,Singapore
NNTRC,Thailand National Organization,Thailand
NOIRLab,NOIRLab,United States
NOVARTIS Foundation,NOVARTIS Foundation,Japan
NPF,NPF,United States
NPRCT-CU,Thailand National Organization,Thailand
NPRCT‑CU,Thailand National Organization,Thailand
NPRU,Thailand National Organization,Thailand
NPT,NPT,United States
NRAO,NRAO,United States
NRC,NRC,Canada
NRC,NRC,South Korea
NRC,NRC,United States
NRC KI,NRC KI,Russia
NRCPD-OUAVM,Thailand National Organization,Thailand
NRCT,Thailand National Organization,Thailand
NRCT-DFG,Thailand National Organization,Thailand
NRCT-JSPS,Thailand National Organization,Thailand
NRCT-NSFC,Thailand National Organization,Thailand
NRF,NRF,South Korea
NRF,NRF,South Africa
NRF,NRF,Australia
NRF of Korea,NRF of Korea,South Korea
NRF-2014M3A6A7060583,NRF-2014M3A6A7060583,South Korea
NRF-2017R1A2B4003781,NRF-2017R1A2B4003781,South Korea
NRF-NEP,NRF-NEP,South Korea
NRF-NERC-SEAP-2020,Thailand National Organization,Thailand
NRF‐NEP,NRF-NEP,India
NRL Australia,NRL Australia,Australia
NRR,Thailand National Organization,Thailand
NRSA,NRSA,Israel
NRSF,NRSF,United States
NRTC,Thailand National Organization,Thailand
NRU,NRU,Russia
NRU-KU,Thailand National Organization,Thailand
NRU‐ KU,Thailand National Organization,Thailand
NRU‐KU,Thailand National Organization,Thailand
NSC,NSC,Taiwan
NSC,NSC,Norway
NSC,NSC,Sweden
NSERC,NSERC,Canada
NSF,NSF,United States
NSF EAR-1763287,NSF EAR-1763287,United States
NSF ECCS-1509076,NSF ECCS-1509076,United States
NSF-MRI,NSF-MRI,United States
NSFC,NSFC,China
NSFC-GD Union Foundation,NSFC-GD Union Foundation,China
NSFC-ISF,NSFC-ISF,China
NSFC-NRCT,NRCT-NSFC,China
NSFC-No,NSFC-No,China
NSFC-Nos,NSFC-Nos,China
NSFC-RSF,NSFC-RSF,China
NSRF,NSRF,Greece
NSRF-KKU,Thailand National Organization,Thailand
NST,NST,South Korea
NSTDA,Thailand National Organization,Thailand
NSTDA Research Chair,Thailand National Organization,Thailand
NSTDA university industry research collaboration,Thailand National Organization,Thailand
NSTDA-Kyoto University,NSTDA-Kyoto University,Thailand
NSTDA-TÜBİTAK,NSTDA-TÜBİTAK,Turkey
NSTDA-University-Industry,NSTDA-University,Thailand
NSTDA-University-Industry Research Collaboration,Thailand National Organization,Thailand
NSW,NSW,Australia
NSW Agency for Clinical Innovation,NSW Agency for Clinical Innovation,Australia
NSW Agency for Clinical Innovation and NSW Ministry of Health,NSW Agency for Clinical Innovation,Australia
NSW Ministry of Health,NSW Ministry of Health,Australia
NTU,NTU,Singapore
NU-PPC Plasma Chemical Technology Laboratory at Chulalongkorn University,NU-PPC Plasma Chemical Technology Laboratory at Chulalongkorn University,Thailand
NUI-RC,NUI-RC,Ireland
NUIST Reading Academy at Nanjing University of Information Science & Technology,NUIST Reading Academy at Nanjing University,China
NUS,NUS,Singapore
NUT,Thailand National Organization,Thailand
NVIDIA Corporation,NVIDIA Corporation,United States
NWA,NWA,United States
NWO,NWO,The Netherlands
NWO Domain AES-Danone Nutricia Research,NWO Domain AES-Danone Nutricia Research,Netherlands
NXPO,NXPO,South Korea
NXPO,Thailand National Organization,Thailand
Nabsolute Co. Ltd.,Thailand National Organization,Thailand
"Nabsolute Co., Ltd.",Thailand National Organization,Thailand
Nacey Maggioncalda Foundation,Nacey Maggioncalda Foundation,United States
Nagaoka University of Technology,Nagaoka University,Japan
Nagasaki University,Nagasaki University,Japan
Nagoya City University Graduate School of Medical Sciences,Nagoya City University,Japan
Nagoya Municipal Industrial Research Institute,Nagoya Municipal Industrial Research Institute,Japan
Nagoya University,Nagoya University,Japan
Naito Foundation,Naito Foundation,Japan
Naito Science & Engineering Foundation,Naito Science & Engineering Foundation,Japan
Nakajima Foundation,Nakajima Foundation,Japan
Nakhon Pathom Hospital,Thailand National Organization,Thailand
Nakhon Pathom Rajabhat University,Nakhon Pathom Rajabhat University,Thailand
Nakhon Ratchasima,Thailand National Organization,Thailand
Nakhon Ratchasima Rajabhat University,Nakhon Ratchasima Rajabhat University,Thailand
Nakhon Ratchasima province,Thailand National Organization,Thailand
Nakhon Sawan,Thailand National Organization,Thailand
"Nakhon Si Parawood Co., Ltd., of Nakhon Si Thammarat",Thailand National Organization,Thailand
Nakhon Si Thammarat,Thailand National Organization,Thailand
Nakhonpathom Biomass Co. Ltd,Thailand National Organization,Thailand
"Nakhonpathom Biomass Co., Ltd.",Thailand National Organization,Thailand
Nakhonpathom Hospital,Thailand National Organization,Thailand
Nakornping Hospital,Thailand National Organization,Thailand
Nakornthon Hospital,Thailand National Organization,Thailand
Nalco Champion,Nalco Champion,United States
Nanjing University,Nanjing University,China
Nanjing University of Information Science and Technology,Nanjing University,China
Nano-Cosmeceuticals Laboratory,Thailand National Organization,Thailand
Nanocatalysis and Molecular Simulation Research Group,Thailand National Organization,Thailand
Nanomaterial for Energy and Catalyst Laboratory,Mahidol University,Thailand
Nanoscale Simulation Laboratory at National Nanotechnology Center,Nanoscale Simulation Laboratory at National Nanotechnology Center,Thailand
Nanoscience and Nanotechnology program and Metallurgy and Materials Science Research Institute of Chulalongkorn University,Nanoscience and Nanotechnology program and Metallurgy and Materials Science Research Institute of Chulalongkorn University,Thailand
Nanoscience and Technology Interdisciplinary Program,Thailand National Organization,Thailand
Nanostructures and Functional Assembly Laboratory,Thailand National Organization,Thailand
Nanotec-CU Center of Excellence on Food and Agriculture,CU Center,Thailand
"Nanotec-CU Center of Excellence on Food and Agriculture, Thailand",Nanotec-CU Center,Thailand
Nanotechnology Center,Nanotechnology Center,Thailand
Nanotechnology Center,Nanotechnology Center,United States
Nanotechnology Initiative,Nanotechnology Initiative,The United States
Nantong University Medical School,Nantong University,China
Nanyang Technological University,Nanyang Technological University,Singapore
Nanyang Technological University College of Humanities and Social Sciences,Nanyang Technological University,Singapore
Naresuan University,Naresuan University,Thailand
Naresuan University Hospital,Naresuan University,Thailand
Naresuan University Research,Naresuan University,Thailand
Naresuan University Research Fund,Naresuan University,Thailand
Naresuan University of Thailand,Naresuan University,Thailand
"Naresuan University, Research and Innovation Development Center for Infrastructure and Rail Transportation Structural System",Naresuan University,Thailand
"Naresuan University, Thailand",Naresuan University,Thailand
Narodowe Centrum Nauki,Narodowe Centrum Nauki,Poland
Narodowym Centrum Nauki,Narodowym Centrum Nauki,Poland
Narukjaporn Thammajaruk,Thailand National Organization,Thailand
Nation Nanotechnology Center,Nation Nanotechnology Center,Thailand
Nation Research Council of Thailand,Thailand National Organization,Thailand
National Academy of Sciences of Ukraine,Academy,Ukraine
National Aeronautics and Space Administration,National Aeronautics and Space Administration,The United States
National Aeronautics and Space Administration,National Aeronautics and Space Administration,United States
National Agency for Research and Development,National Agency for Research and Development,Moldova
National Agency for Research and Innovation,National Agency for Research and Innovation,Uruguay
National Agency of Research and Development Millennium Science Initiative,National Agency of Research and Development Millennium Science Initiative,Chile
National Astronomical Observatory of Japan,National Astronomical Observatory of Japan,Japan
National Astronomical Research Institute of Thailand,National Astronomical Research Institute,Thailand
National Basic Research Program of China,National Basic Research Program of China,China
National Bioinformatics Infrastructure Sweden at SciLifeLab,National Bioinformatics Infrastructure Sweden at SciLifeLab,Sweden
National Blood Center,National Blood Center,Thailand
National Blood Center in Bangkok,National Blood Center,Thailand
National Blood Centre,Thailand National Organization,Thailand
National Brain Appeal,National Brain Appeal,United Kingdom
National Brain Appeal Organisation,National Brain Appeal Organisation,United Kingdom
National Brain Appeal Organisation and Alzheimer?s Research UK,National Brain Appeal Organisation and Alzheimer?s Research UK,United Kingdom
National Cancer Institute,National Cancer Institute,United States
National Cancer Institute,National Cancer Institute,The United States
National Cancer Institute Cancer Center Support,National Cancer Institute,United States
National Cancer Institute of Thailand,National Cancer Institute,Thailand
"National Cancer Institute's Surveillance, Epidemiology and End Results Program",National Cancer Institute,United States
"National Cancer Institute’s Surveillance, Epidemiology and End Results Program",National Cancer Institute,United States
National Center for Advancing Translational Sciences,NIH National Center,United States
National Center for Advancing Translational Sciences,NIH National Center,The United States
National Center for Child Health and Development,National Center,Japan
National Center for Functional Glycomics,National Center,United States
National Center for Genetic Engineering and Biotechnology,National Center,Thailand
"National Center for Genetic Engineering and Biotechnology, Ministry of Science and Technology, Thailand",National Center,Thailand
National Center for Nanoscience and Nanotechnology,National Center,China
National Center for Research Resources,National Center,United States
National Center for Research Resources,National Center,The United States
National Center for Research Resources to University of Iowa,National Center for Research Resources to University,United States
National Center for Theoretical Science,National Center,Taiwan
National Center for Theoretical Sciences Mathematics Division,National Center,Taiwan
National Center of Excellence for Environmental and Hazardous Waste Management,Center,United States
"National Center of Excellence for Environmental and Hazardous Waste Management, Chulalongkorn University",Center,Thailand
"National Center of Excellence for Petroleum, Petrochemicals, and Advanced Materials",Center,Thailand
National Center of Neurology and Psychiatry,National Center,Japan
National Centre for Infectious Diseases,National Centre for Infectious Diseases,Singapore
National Centre for Physics,National Centre for Physics,Pakistan
National Centre for Social Research,National Centre for Social Research,United Kingdom
National Centre of Excellence in Analytical Chemistry,National Centre of Excellence in Analytical Chemistry,Australia
National Chen Kung University,National Chen Kung University,Taiwan
National Cheng Kung University,National Cheng Kung University,Taiwan
National Chung Hsing University,National Chung Hsing University,Taiwan
National Chung-Hsing University,National Chung Hsing University,Taiwan
National Commission for Scientific and Technological Research of Chile,National Commission for Scientific and Technological Research of Chile,Chile
National Commission of Scientific and Technological Research,National Commission of Scientific and Technological Research,Chile
National Computational Infrastructure,National Computational Infrastructure,Australia
National Computer Center,National Computer Center,Thailand
National Council for Scientific and Technological,National Council for Scientific and Technological,Costa Rica
National Council for Scientific and Technological Development,National Council for Scientific and Technological,Brazil
National Council of Thailand,Thailand National Organization,Thailand
National Counsel of Technological and Scientific Development,National Counsel of Technological and Scientific Development,Brazil
National Cyclotron,Thailand National Organization,Thailand
National Decommissioning Centre,National Decommissioning Centre,United Kingdom
National Digital Economy and Society Commission,Thailand National Organization,Thailand
National Doctoral Programme in Informational and Structural Biology,National Doctoral Programme in Informational and Structural Biology,Finland
National Dong Hwa University,National Dong Hwa University,Taiwan
National Economic and Social Development Council,Thailand National Organization,Thailand
National Electronics and Computer Technology,Thailand National Organization,Thailand
National Electronics and Computer Technology Center,Thailand National Organization,Thailand
National Energy Technology Center,National Energy Technology Center,United States
National Environment Research Council of the United Kingdom,National Environment Research Council of the United Kingdom,United Kingdom
National Eye Institute,National Eye Institute,United States
"National Eye Institute , Allergan",National Eye Institute,United States
National Eye Institute Core,National Eye Institute,United States
"National Eye Institute, Allergan",National Eye Institute,United States
"National Eye Institute, Sight for Souls",National Eye Institute,United States
National Eye Instituted,National Eye Institute,United States
National Eye Institute’s National Advisory Eye Council,National Eye Institute,United States
National Fisheries Institute,National Fisheries Institute,United States
National Foundation for Science and Technology Development,National Foundation,Viet Nam
National Foundation for Science and Technology Development,National Foundation,Vietnam
National Geographic Foundation for Science and Exploration,National Geographic Foundation,United States
National Geographic Foundation for Science and Exploration-Asia,National Geographic Foundation,Thailand
National Geographic Society,National Geographic Society,United States
National Geographic Society,National Geographic Society,The United States
National Geographical Society of the USA,National Geographical Society of the USA,United States
National Geospatial-Intelligence Agency,National Geospatial-Intelligence Agency,United States
National Health Commission,National Health Commission,China
National Health Examination Survey,National Health Examination Survey,United States
National Health Examination Survey Office,National Health Examination Survey,United States
National Health Examination Survey V Thailand,Thailand National Organization,Thailand
National Health Research Institutes,National Health Research Institute,Taiwan
National Health Security Office,Thailand National Organization,Thailand
National Health Security Office of Thailand,Thailand National Organization,Thailand
National Health Security Office program,Thailand National Organization,Thailand
"National Health Security Office, Thailand",Thailand National Organization,Thailand
"National Health Security Office, Thailand and Health System Research Institute","National Health Security Office, Thailand and Health System Research Institute",Thailand
"National Health Security Office, Thailand, and Health System Research Institute","National Health Security Office, Thailand and Health System Research Institute",Thailand
National Health Service,National Health Service,United Kingdom
National Health and Medical Research Council,National Health and Medical Research Council,Australia
National Health and Medical Research Council of Australia,National Health and Medical Research Council of Australia,Australia
National Health and Medical and Research Council,National Health and Medical Research Council,Australia
"National Heart, Blood","National Heart, Blood",United States
"National Heart, Lung and Blood Institute","Heart, Lung, and Blood Institute",United States
"National Heart, Lung, and Blood Institute","Heart, Lung, and Blood Institute",United States
"National Heart, Lung, and Blood Institute","Heart, Lung, and Blood Institute",The United States
"National Heart, Lung, and Blood Institute","Heart, Lung, and Blood Institute",United Kingdom
"National Heart, Lung, and Blood Institute CLOT Consortium","National Heart, Lung, and Blood Institute",United States
National Hemophilia Foundation,National Hemophilia Foundation,United States
National High Technology Research & Development ProGram,National High Technology Research & Development ProGram,China
National High Technology Research & Development Program,National High Technology Research & Development ProGram,China
National High-tech R&D Program of China (863 program,National High-tech R&D Program of China (863 program,China
National High-tech Research and Development Program,National High-tech Research and Development Program,China
National Higher Education Science Research and Innovation Policy Council,Thailand National Organization,Thailand
National Higher Education Science Research and Innovation Policy Council of Thailand,Thailand National Organization,Thailand
"National Higher Education, Science, Research and Innovation Policy Council, Thailand",Thailand National Organization,Thailand
National Human Genome Research,National Human Genome Research,United States
National Human Genome Research Institute,National Human Genome Research,The United States
National Human Genome Research Institute,National Human Genome Research,United States
National Innovation Agency,National Innovation Agency,Portugal
National Innovation Office,National Innovation Office,Hungary
National Innovative Talents Program,National Innovative Talents Program,China
National Institute for General Medical Sciences,National Institute,United States
National Institute for Health Research,National Institute,United Kingdom
National Institute for Health Research Barts Biomedical Research Centre,National Institute,United Kingdom
National Institute for Health Research Collaboration for Leadership in Applied Health Research and Care Oxford,National Institute,United Kingdom
National Institute for Health Research University College London Hospitals Biomedical Research Center,National Institute for Health Research University,United Kingdom
National Institute for Health Research University College London Hospitals Biomedical Research Centre,National Institute for Health Research University,United Kingdom
National Institute for Health and Care Research,National Institute,The United Kingdom
National Institute for Materials Science,National Institute,Japan
National Institute of Advanced Industrial Science and Technology,National Institute,Japan
National Institute of Aging R01AG026484,National Institute,United States
National Institute of Allergy and Infectious Disease,National Institute,United States
"National Institute of Allergy and Infectious Disease, Food Allergy Research and Education",National Institute,United States
National Institute of Allergy and Infectious Diseases,NIH/National Institute,United States
National Institute of Allergy and Infectious Diseases,NIH/National Institute,The United States
National Institute of Animal Health,National Institute,Thailand
National Institute of Arthritis and Musculoskeletal Disorders,National Institute,United States
National Institute of Arthritis and Musculoskeletal and Skin Diseases,National Institute,The United States
National Institute of Arthritis and Musculoskeletal and Skin Diseases,National Institute,United States
National Institute of Chemical Physics and Biophysics,National Institute,Estonia
National Institute of Child Health and Human Development,National Institute,United States
National Institute of Child and Human Development,National Institute,United States
National Institute of Dental and Craniofacial Research,National Institute,United States
National Institute of Dental and Craniofacial Research,National Institute,The United States
National Institute of Development Administration,National Institute,Thailand
National Institute of Diabetes and Digestive and Kidney Diseases,National Institute,United States
National Institute of Diabetes and Digestive and Kidney Diseases,National Institute,The United States
National Institute of Environmental Health Sciences,National Institute,United States
National Institute of Environmental Health Sciences,National Institute,The United States
National Institute of Food and Agriculture,National Institute,United States
National Institute of General Medical Sciences,National Institute,The United States
National Institute of General Medical Sciences,National Institute,United States
National Institute of General Medicine Sciences,National Institute,United States
National Institute of Genetics,National Institute,Japan
National Institute of Health,National Institute,United States
National Institute of Health Research Biomedical Research Centre at the South London and Maudsley NHS Foundation Trust,Biomedical Research Centre at South London and Maudsley NHS Foundation,United Kingdom
"National Institute of Heart, Lung, and Blood Institute","Heart, Lung, and Blood Institute",United States
National Institute of Infectious Diseases,National Institute,Japan
National Institute of Informatics,National Institute,Japan
National Institute of Information and Communications Technology,National Institute,Japan
National Institute of Justice,National Institute,United States
National Institute of Mental Health,National Institute,United States
National Institute of Mental Health,National Institute,The United States
National Institute of Metrology,National Institute,China
"National Institute of Metrology, Thailand",National Institute,Thailand
National Institute of Neurological Disorders and Stroke,National Institute,United States
National Institute of Neurological Disorders and Stroke,National Institute,The United States
"National Institute of Occupational Safety and Health, Japan",National Institute,Japan
