,funding_agency_name,Country
3281,Pittsburgh,United States
3282,Pittsburgh Supercomputing Center,United States
3283,Politecnico di Bari,Italy
3284,S?o Paulo Research and Analysis Center,Brazil
3285,Swiss National Supercomputing Centre,Switzerland
3286,São Paulo Research and Analysis Center,Brazil
3287,Texas Advanced Computing Center,United States
3288,"University of Wisconsin - Madison, Madison",United States
3289,Università di Bari,Italy
3290,Chulalongkorn University Dussadeepipat Scholarship,Thailand
3291,Charoen Pokphand Foods,Thailand
3292,Center for Excellence in Omics-Nano Medical Technology Development Project Chulalongkorn University,Thailand
3293,"MitoQ Limited, New Zealand",New Zealand
3294,Department of Health Government Development Fund,United Kingdom
3295,Nong Prue Sub-District Health Promoting Hospital,Thailand
3296,Faculty of Dentistry Chulalongkorn University,Thailand
3297,National Medical Research Council Singapore,Singapore
3298,Aditya Birla Chemical (Thailand),Thailand
3299,"Ministry of Education, Science, Research and Innovation",Thailand
3300,Ubonratchathani University,Thailand
3301,Animal Pathogen Research Unit,United States
3303,Baxter Health Care Canada,Canada
3304,100thAnniversary Chulalongkorn University for Doctoral Scholarship,Thailand
3305,Tokyo Metropolitan Government Advanced Research,Japan
3306,"Center of Excellence in Clinical Virology, Faculty of Medicine, King Chulalongkorn Memorial Hospital",Thailand
3307,King Mongkut’s,Thailand
3308,South Ural State University,Russia
3309,Phrapokklao Hospital Donation Fund,Thailand
3310,Sirivadhanabhakdi Foundation,Thailand
3311,Foundation for Cancer Care,United States
3312,SiCORE for Systems Pharmacology Faculty of Medicine Siriraj Hospital Mahidol University,Thailand
3313,Citius Pharmaceuticals,United States
3314,Massachusetts Executive Office of Energy and Environmental Affairs,United States
3315,Massachusetts Interscholastic Athletic Association,United States
3316,Teradyne Inc,United States
3317,Chulalongkorn University-ASEAN Scholarship 2020,Thailand
3318,Sci-Super VII,United Kingdom
3319,Alfa Sigma Italy,Italy
3320,Ratchadaphiseksomphot Endowment Fund and Veterinary Science Research Fund,Thailand
3321,Hunan Provincial Social Science Committee,China
3322,Scientific Research Fund of Hunan University of Science and Technology,China
3323,German Jose Carreras Leukemia Foundation,Germany
3324,Hunan Key R&D Program Project,China
3325,Royal College Pediatricians of Thailand,Thailand
3326,Ratchdaphiseksompot Endowment Fund,Thailand
3327,"Beiersdorf (Thailand) Co., Ltd.",Thailand
3328,National Omics Center,South Korea
3329,Chulalongkorn University‐Veterinary Science Research Fund,Thailand
3330,Naresuan University Research,Thailand
3331,Newton Fund-TRF,United Kingdom
3332,Thailand National and Materials Technology Center,Thailand
3333,American Society of Onconephrology,United States
3334,Foundations Commission of University of Heidelberg,Germany
3335,Program of Philosophy and Social Science Foundation of Yunnan Province,China
3336,Yunnan Provincial Department of Education Research Fund,China
3337,Mitsubishi UFJ Trust Scholarship Foundation,Japan
3338,Japan International Cooper-ation Agency,Japan
3339,Land Development Department,Thailand
3340,Royal Irrigation Department,Thailand
3341,"Rachadapiseksompoch Fund for the Center of Excellence in Neurogastroenterology and Motility, Faculty of Medicine, Chulalongkorn University",Thailand
3342,Ceteau (Thailand) Ltd.,Thailand
3343,Mitigation of Marine Plastic Pollution in the Philippines,Philippines
3344,"National Research Foundation , Prime Minister’s Office",Singapore
3345,"National Research Foundation, Prime Minister's Office",Singapore
3346,Amity University Uttar Pradesh,India
3347,"College of Medicine, Qassim University",Saudi Arabia
3348,National Science Museum Thailand,Thailand
3349,China Outstanding Engineer Training Plan for Students of Chemical Engineering & Technology in Hunan University,China
3350,International Association of Providers of AIDS Care,United States
3351,Ratchadaphiseksomphot Endowment Fund of Hepatic Fibrosis,Thailand
3352,Ratcha-dapisek Sompoch Endowment Fund,Thailand
3353,Faculty of Humanities Mahachulalongkornrajavidyalaya University,Thailand
3354,Office of the Higher Education Policy,United States
3355,"Science, Research and Innovation National Council",Italy
3356,Thailand Science research and Innovation Fund Chulalongkorn University CU_FRB65_dis,Thailand
3357,"Office of National Higher Education, Science, Research and Innovation Policy Council",Thailand
3358,"Department of Chemistry and Scientific Equipment Center, Faculty of Science, Kasetsart University",Thailand
3359,"Graduate School of Energy Science, Kyoto University",Japan
3360,Western Digital (Thailand) Co. Ltd,Thailand
3361,Siriraj Foundation for Stem Cell Research,Thailand
3362,"CHERDCHAI CORPORATION Co.,Ltd.",Thailand
3363,Marsden Fund New Zealand,New Zealand
3364,"Department of Electrical Engineering, Chulalongkorn University",Thailand
3365,"Faculty of Allied Health Sciences, Chulalongkorn University",Thailand
3366,"Faculty of Medicine, Chulalongkorn University",Thailand
3367,"Faculty of Science, Chulalongkorn University",Thailand
3368,Cawthron Institute,New Zealand
3369,MU College of Health,United States
3370,National Science Challenge,New Zealand
3371,INTI International University,Malaysia
3372,"Negeri Sembilan, Malaysia",Malaysia
3373,AFHSC-GEIS,United States
3374,Armed Forces Health Surveillance Center,United States
3375,Division of Global Emerging Infections Surveillance,United States
3376,NIAID-CREID,United States
3377,Shuang Ho Hospital,Taiwan
3378,Thailand Science Research and Innovation and Chulalongkorn University,Thailand
3379,Invertis University,India
3380,Ratchadapisek-Sompot Fund Chulalongkorn University,Thailand
3381,"SCG Chemicals Co., Ltd.",Thailand
3382,"Austrian Agency for International Mobility and Cooperation in Education, Science, and Research",Austria
3383,"Department of Veterinary Medicine, Faculty of Veterinary Science, Chulalongkorn University",Thailand
3384,Department of Medical Services Fund,Thailand
3385,Royal Society-Newton Mobility,United Kingdom
3386,C2F Fund-Chulalongkorn Academic Advancement,Thailand
3387,U.S. National Science Foundation-EPSCoR,United States
3388,U.S. National Science Foundation-Physics Division,United States
3389,Villum Fonden and Carlsberg Foundation,Denmark
3390,Janssen Biopharma,Belgium
3391,Janssen Global Services,United States
3392,"Siriraj Hospital, Mahidol University",Thailand
3393,Australian Red Cross Lifeblood,Australia
3394,GSK ViiV,United Kingdom
3395,Thailand Convention and Exhibition Bureau,Thailand
3396,Institut de Systématique,France
3397,Sud Expert Plantes,France
3398,Chulalongkorn University-One Health Research Cluster,Thailand
3399,Department of Biotechnology,India
3400,Thammasat University-Fast Track,Thailand
3401,SSL-VIT,India
3402,Emili Sagol Creative Arts Therapies Research Center,Israel
3403,"Department of Civil and Environmental Engineering, Faculty of Engineering, Srinakharinwirot University",Thailand
3404,Chula-longkorn University Thailand,Thailand
3405,"Office of the Ministry of Higher Education, Science, Research and Innovation, Thailand Science Research and Innovation",Thailand
3406,Air Pollution and Health Effect Research Center,Iran
3407,United States President's Emergency Plan for AIDS Relief,United States
3408,Radchadapesek Sompoch Endowment Fund,Thailand
3409,AFFiRis,Austria
3410,Johns Hopkins Press,United States
3411,Vinythai Public Company Limited,Thailand
3412,NIPPON,Japan
3413,"Health Systems Research Institute, Thailand",Thailand
3414,Aeon Biopharma,United States
3415,Biohaven Pharmaceuticals Inc.,United States
3416,University of Manchester Research Institute,United Kingdom
3417,SERB-TARE,India
3418,Thaksin University for the Human Resources Development Fund,Thailand
3419,Australian Centre for Health Services Innovation,Australia
3420,Australian University Librarians,Australia
3421,Queensland Children's Hospital Foundation,Australia
3422,"TRF Institute Fund for the Pediatric Department, Faculty of Medicine, Chula-longkorn University",Thailand
3423,Ratchasapisek Sompoch Fund,Thailand
3424,Department of Psychology at Aberystwyth University,United Kingdom
3425,JASTIP,Japan
3426,Innovation Fund Chulalongkorn University,Thailand
3427,Giles-O’Malley Foundation,United States
3428,"Ministry of Education, Culture, Research and Technology of Indonesia",Indonesia
3429,Riset ITB,Indonesia
3430,Program for Huazhong University of Science and Technology,China
3431,University of Phayao and Chiang Mai University,Thailand
3432,Philippine Foundation for Vaccination Inc.,Philippines
3433,US Department of,United States
3434,Universidad Michoacana,Mexico
3435,Chulalongkorn University Health Service Center,Thailand
3436,"National Vaccine Institute, Thailand and Baiya Phytopharm Co., Ltd.",Thailand
3437,National Metal and Materials Technology Center of Thailand,Thailand
3438,Harvard Law School Brooks McCormack Animal Law & Policy Program,United States
3439,Philippine College of Poultry Practitioners,Philippines
3440,Tiny Beam Fund,United States
3441,Ho Chi Minh City Department of Science and Technology,Vietnam
3442,Vietnam Atomic Energy Institute,Vietnam
3443,Japan Agency for Medical Research,Japan
3444,JHU ReVision,United States
3445,DLR-PT,Germany
3446,"Kowa Pharmaceuticals America, Inc.",United States
3447,"National Institute of Heart, Lung, and Blood Institute",United States
3448,DENFREE Thailand,Thailand
3449,Genentech and Roche,Switzerland
3450,Newton Fund Research,United Kingdom
3451,National Research Council of Thailand and Biosense Webster,Thailand
3452,Ministry of Digital Economy and Society,Thailand
3453,National Digital Economy and Society Commission,Thailand
3454,"Faculty of Agricultural Technology, Universitas Gadjah Mada",Indonesia
3455,"Ministry of Education, Culture, Research, and Technology of the Republic of Indonesia",Indonesia
3456,"Czech Ministry of Education, Youth, and Sports",Czech Republic
3457,"Department of Anti?Aging and Regenerative Science, School of Anti?Aging and Regenerative Medicine, Mae Fah Luang University",Thailand
3458,"Department of Anti‐Aging and Regenerative Science, School of Anti‐Aging and Regenerative Medicine, Mae Fah Luang University",Thailand
3459,"King Chulalongkorn Memorial Hospital and Center of Excellence for Innovation and Endoscopy in Gastrointestinal Oncology, Faculty of Medicine, Chulalongkorn University",Thailand
3460,European Union-Spain,Spain
3461,Instituto de Investigaci?n en Recursos Cineg?ticos,Spain
3462,"Seneca Foundation of Murcia Region , Spain",Spain
3463,University of Murcia Spain,Spain
3464,His Royal Highness Crown Prince Maha Vajiralongkorn Scholarship,Thailand
3465,Thanawat Quality Starch Company Limited,Thailand
3466,National Primate Research Center of Thailand‐Chulalongkorn University,Thailand
3467,Chum Phae Hospital,Thailand
3468,Chulalongkorn University-Faculty of Veterinary Science Research Fund,Thailand
3469,"Center of Excellence in Infrastructure Management, Chulalongkorn University",Thailand
3470,Brazilian Research Council,Brazil
3471,National Nanotechnology Platform,United States
3472,Anwill (Thailand) Co. Ltd,Thailand
3473,"Ministry of Higher Education, Science, Research and Innovation, Thailand for Electron Processing System",Thailand
3474,Dengue Expert Advisory Group Pakistan,Pakistan
3475,Foundation Merieux,France
3476,Global Dengue and Aedes transmitted Diseases Consortium,United Kingdom
3477,Indonesian Paediatric Society,Indonesia
3478,Paediatric Infectious Disease Society of Philippines,Philippines
3479,Sanofi Pasteur and Takeda,France
3480,Thailand Science Research and In novation Fund Chulalongkorn University CU_FRB65_hea,Thailand
3481,APHP,France
3482,Fondation des Gueules Cassées,France
3483,Région Ile-de-France,France
3484,National University of Singapore STEM for University Educators Programme,Singapore
3485,Far Eastern Memorial Hospital National Yang Ming Chiao Tung University Joint Research Program,Taiwan
3486,Chiang Dao District Public Health Office,Thailand
3487,Data Management Center of King Chulalongkorn Memorial Hospital,Thailand
3488,"Biostatistics Excellence Center, Research Affairs, Faculty of Medicine, Chulalongkorn University",Thailand
3489,Thai Orthopedic Society for Sports Medicine,Thailand
3490,Kaiser Permanente Research Program on Genes,United States
3491,Million Veteran Program,United States
3492,Chulalongkorn University on Center of Excellence in Natural Products for Ageing and Chronic Diseases,Thailand
3493,Siriraj research fund,Thailand
3494,CNRS-UMR,France
3495,National Research Council of Thailand and Innovation Fund Chulalongkorn University,Thailand
3496,Graduate School of CU,Thailand
3497,Showa Denko Materials,Japan
3498,Faculty of Medicine Vajira Hospital,Thailand
3499,Navamindradhiraj University Research Fund,Thailand
3500,"Thailand Science research and Innovation Fund Chulalongkorn University, Thailand",Thailand
3501,"Mahidol University, Thailand",Thailand
3502,Shanghai Sailing Program,China
3503,"Department of Clinical Epidemiology and Biostatistics, Faculty of Medicine, Ramathibodi Hospital, Mahidol University",Thailand
3504,"University of Iowa Hospitals and Clinics, Iowa City",United States
3505,"Burapha University and Center of Excellence in Catalysis and Catalytic Reaction Engineering, Chulalongkorn University",Thailand
3506,Ratchadaphisek Sompot Endowment Fund,Thailand
3507,Chulalongkorn University Ratchadapiseksompotch Fund,Thailand
3508,Chulalongkorn University and Center of Excellence on Petrochemical and Material Technology,Thailand
3509,Toray Science Foundation,Japan
3510,Daiichi Sankyo and Sanofi,Japan
3511,Merck Biopharma,Germany
3512,Taiho,Japan
3513,NTSC,China
3514,Phranakhon Rajabhat University,Thailand
3515,Foreign Expert Funding of China,China
3516,Thailand NSRF,Thailand
3517,Emory's Laney Graduate School,United States
3518,Ratchadaphiseksomphot Matching Fund,Thailand
3519,VISTEC-depa Thailand Artificial Intelligence Research Institute,Thailand
3520,Thailand Science Research and Innovation Fund Chulalongkorn University CU_FRB65_ind,Thailand
3521,"Ministry of Higher Education, Science, Research and Innovation, Faculty of Science, Prince of Songkla University",Thailand
3522,Sittwe General Hospital,Myanmar
3523,Mitsubishi Materials Corporation,Japan
3524,Food & Health Foundation,United States
3525,KhonKaen campus,Thailand
3526,RMUTI,Thailand
3527,"Center of Excellence in Agricultural Innovation and Food Safety, Faculty of Science, Srinakharinwirot University",Thailand
3528,Chinese National Cancer Center,China
3529,information department of Hunan Cancer Hospital,China
3530,King Narai Hospital,Thailand
3531,Neil Shen’s SJTU Medical Research Fund,China
3532,SJTU-Yale,China
3533,"National Taipei University of Nursing and Health Science, Taiwan",Taiwan
3534,University of Taipei,Taiwan
3535,Wei-fang Medical University,China
3536,"Directorate General of Higher Education, Research, and Technology",Indonesia
3537,"Ministry of Education, Culture, Research, and Technology of The Republic of Indonesia",Indonesia
3538,Department of Science and Technology-National Research Foundation,Philippines
3539,"Department of Chemical Engineering, Faculty of Engineering, Chulalongkorn University, Thailand",Thailand
3540,Global Green Chemical Public Company Limited,Thailand
3541,"Applied Algal Research Laboratory, Chiang Mai University",Thailand
3542,"Ratchadapiseksompotch Fund Chulalongkorn University , Thailand",Thailand
3543,"Ratchadapiseksompotch Fund Chulalongkorn University, Thailand",Thailand
3544,Southern Sierra Critical Zone Observatory,United States
3545,Natural Science Foundation of Fujian Agriculture and Forestry,China
3546,"Antibody Engineering Laboratory, Faculty of Medicine Siriraj Hospital",Thailand
3547,"School of Science, King Mongkut’s Institute of Technology Ladkrabang",Thailand
3548,Thailand Science Research and Innovation Fund of Chulalongkorn University,Thailand
3549,"Department of Medicine, Phramongkutklao Hospital",Thailand
3550,Fatty Liver Fund,United States
3551,"Foundation of Faculty of Medicine, Chulalongkorn University",Thailand
3552,Phramongkutklao College of Medicine,Thailand
3553,King Chulalongkorn Memorial Hospital Microbiological Laboratory,Thailand
3554,NASA Land Cover Land Use Change,United States
3555,Maharat Nakhonratchasima Hospital,Thailand
3556,Royal College Physicians of Thailand,Thailand
3557,Surin Hospital,Thailand
3558,Thailand Science research and Innovation Fund Chulalongkorn University CU_FRB65_hea,Thailand
3559,"Angelini Pharmaceuticals, Horizon 2020",Italy
3560,Bavaria State Ministry,Germany
3561,German Parkinson Foundation,Germany
3562,German Research Ministry,Germany
3563,Jazz Pharma,Ireland
3564,Van Lang University,Vietnam
3565,International Program Manager Department of Clinical Epidemiology and Biostatistics Faculty of Medicine Ramathibodi Hospital Mahidol University,Thailand
3566,King Chu-lalongkorn Memorial Hospital,Thailand
3567,"Thai Pediatric Gastroenterology, Hepatology and Immunology",Thailand
3568,Division of Gastroenterology and Hepatology,United States
3569,Medical Council of Thailand,Thailand
3570,Ratchadaphiseksomphot Endowment Fund of liver fibrosis,Thailand
3571,Siriraj Diabetes Center,Thailand
3572,Nordforsk project Sureaqua,Norway
3573,"Office of Commission on Higher Education, Thailand Research Fund",Thailand
3574,"Zhongshan Ophthalmic Center, Sun Yat-sen University",China
3575,Consejo Nacional de Ciencia Tecnología,Mexico
3576,Consejo Nacional de Ciencia y Tecnolog?a,Mexico
3577,"Eastern Sea Laem Chabang Terminal Co., Ltd.",Thailand
3578,"Center of Excellence in Gastrointestinal Oncology, Chulalongkorn University",Thailand
3579,University of Oradea,Romania
3580,Navamindradhiraj University and Plasma Technology and Nuclear Fusion Research Unit,Thailand
3581,Bumrungrad International Hospital,Thailand
3582,National Cancer Institute of Thailand,Thailand
3583,"Department for Clinical Epidemiology and Biostatistics, Faculty of Medicine Ramathibodi Hospital",Thailand
3584,"Thailand Science and Research Innovation Bureau, Thailand Research Fund",Thailand
3585,Interreg Deutschland,Germany
3586,Interreg Deutschland-Denmark,Germany
3587,European Union's program Eurostar,Belgium
3588,AB-Biotics,Spain
3589,Angelini and Menarini,Italy
3590,Farmindustria,Italy
3591,Ferrer,Spain
3592,"Forest Research Institute, Galenica, Gedeon Richter",Hungary
3593,NICM-Blackmores,Australia
3594,UK Research and Innovation Future Leaders,United Kingdom
3595,Canadian Home Parenteral Nutrition Registry,Canada
3596,Division of Gastroenterology and Farncombe Family Digestive Health Research Institute,Canada
3597,"Michael's Hospital, University of Toronto",Canada
3598,DIKBUDRISTEK,Indonesia
3599,"Institute of Research and Community Services Affairs, University of Bengkulu",Indonesia
3600,Thailand-United States Educational Foundation,United States
3601,King Mongkut’s Uni,Thailand
3602,Abbie and Merck,United States
3603,EchoSens,France
3604,HistoIndex,Singapore
3605,Intercept Pharma Europe Ltd.,United Kingdom
3606,Intercept Pharmaceuticals,United States
3607,Intercept Pharmaceutics,United States
3608,International Liver Foundation,United States
3609,Poxel Pharma,France
3610,Sanofi-Aventis Deutschland GmbH,Germany
3611,Skandia Research Foundation,Sweden
3612,Stockholm Innovation Foundation,Sweden
3613,Chulalongkorn University Laboratory Animal Centre,Thailand
3614,"Mahachai Green Power Co., Ltd.",Thailand
3615,NIHR Biomedical Research Centre at University College London Hospitals National Health Service Foundation Trust,United Kingdom
3616,Harvard Catalyst National Institutes of Health,United States
3617,Deanship of Scientific Research at Umm Al-Qura University,Saudi Arabia
3618,Department of Veterinary Medicine of AFRIMS,Thailand
3619,"Fundamental Research Grant Scheme , Malaysia",Malaysia
3620,"Fundamental Research Grant Scheme, Malaysia",Malaysia
3621,US Agency for International Development/The US President’s Emergency Plan for AIDS Relief,United States
3622,Ratchadapisek Pageant Research Fund,Thailand
3623,"Prince of Songkla University, Thailand and Doctor Kasem Pangsrivongse Foundation",Thailand
3624,Endocrinology Unit of the Maharaj Nakorn Chiang Mai Hospital,Thailand
3625,Harvard University Countway Library of Medicine,United States
3626,"Petro-leum and Petrochemical College, Chulalongkorn University",Thailand
3627,"Horizon Therapeutics USA, Inc",United States
3628,Nikkiso Co Ltd,Japan
3629,"United Kingdom Government, Thailand Science and Research Innovation",United Kingdom
3630,Bangpu Nature Education Center,Thailand
3631,Joint Research Project of the Research Institute for Microbial Diseases,Japan
3632,Xiamen Youth Innovation Fund Project,China
3633,Maj Institute of Pharmacology PAS,Poland
3634,DOST‐PCIEERD) of the Philippines,Philippines
3635,DOST‐SEI,Philippines
3636,Malaysian MOHE,Malaysia
3637,Thailand Grand Challenges,Thailand
3638,"Libera Università di Bolzano, Piazza Università",Italy
3639,NED University,Pakistan
3640,Siam Herbal Innovation Company Limited,Thailand
3641,Ratchadaphisek Endowment Fund,Thailand
3642,NSF-NCS,United States
3643,Hydro–Informatics Institute,Thailand
3644,UCSI University,Malaysia
3645,Dr. Thiam Chokwatana Foundation,Thailand
3646,Dr. Thiam Chokwatana foundation,Thailand
3647,Bumrungrad Hospital Bangkok,Thailand
3648,UNIV Nantes,France
3649,Chulalongkorn University.National Nanotechnology Center,Thailand
3650,"Center of Excellence for Regenerative Dentistry, Faculty of Dentistry, Chulalongkorn University",Thailand
3651,"Faculty of Medicine, Chulalongkorn University, Thailand Research Fund",Thailand
3652,"Graduate Affairs, Faculty of Medicine, Chulalongkorn University?for",Thailand
3653,Malee Samphran Public Company Limited Thailand,Thailand
3654,"Research Affairs, Faculty of Medicine, Chulalongkorn University?as",Thailand
3655,International Area Studies and Foreign Language High-Level Talents Training Project of China Scholarship Council,China
3656,Scientific Research Foundation Project of Educational Commission of Yunnan Province,China
3657,Civitan Norges Forskningsfond for Alzheimers sykdom,Norway
3658,HELSE SØR-ØST,Norway
3659,Norwegian Cancer Society & Norwegian Breast Cancer Society,Norway
3660,Japan Society,Japan
3661,"Department of Chemical Engineering, Faculty of Engineering, Prince of Songkla University",Thailand
3662,HIV-NAT Chulalongkorn University,Thailand
3663,Doi Tung Development Project,Thailand
3664,"Ministry of Higher Education, Science, Research and Innovation, Bangkok, Thailand and Science Achievement Scholarship of Thailand",Thailand
3665,National University of Laos and Souphanouvong University,Laos
3666,"Bartlett Faculty of the Built Environment, University College London",United Kingdom
3667,Google Cloud Research Credits program,United States
3668,UCL Institute for Environmental Design and Engineering,United Kingdom
3669,Mae Fah Luang Botanical Garden,Thailand
3670,Genomics Thailand,Thailand
3671,Mashhad Environmental Pollutants Monitoring Center,Iran
3672,"University of South Bohemia, České Budějovice, Czech Republic",Czech Republic
3673,Inner Mongolia Major Science and Technology Major Project,China
3674,Office of Research Infrastructure Pro-grams/OD,United States
3675,C2F) Chulalongkorn University Bangkok Thailand,Thailand
3676,National Center for Research Resources to University of Iowa,United States
3677,University of Iowa Hospitals & Clinics,United States
3678,"Faculty of Fisheries, Kasetsart University",Thailand
3679,Kamphaengsaen Fisheries Research Station,Thailand
3680,Yunnan Intelligence Union Program,China
3681,AssociationofThailand,Thailand
3682,Banpong Hospital,Thailand
3683,ScienceresearchandInnovationFund ChulalongkornUniversity,Thailand
3684,"Arbutus Biopharma, Inc.",Canada
3685,Annamalai University,India
3686,Sathyabama Institute of Sceince and Technology,India
3687,Rachadapisek Sompoj Fund,Thailand
3688,"Chulalongkorn University, Centre for Agriculture",Thailand
3689,Hue University of Agriculture and Forestry,Vietnam
3690,"Thailand Department of Agriculture, Thailand Department of Mineral Resource",Thailand
3691,Thailand Department of Groundwater Resources,Thailand
3692,Chonburi Provincial Public Health Office,Thailand
3693,Nakhon Si Thammarat,Thailand
3694,Chulalongkorn University for Research Unit,Thailand
3695,Universitas Negeri Surabaya,Indonesia
3696,European Institute for Japanese Studies,Sweden
3697,"Gustavson School of Business, University of Victoria",Canada
3698,Mistra Centre for Sustainable Markets in November 2020,Sweden
3699,"Stockholm School of Economics, Sweden",Sweden
3700,ICAR-Sugarcane Breeding Institute,India
3701,National Science Foundation Division of Astronomical Sciences,United States
3702,Chulalongkorn Academic Advancement Into It’s 2nd Century Project,Thailand
3703,Centre for Advanced Study in Marine Biology,India
3704,Centre for Ocean Research Sathyabama Institute of Science and Technology,India
3705,Ratchadapiseksompotch Endowment Fund of Liver Fibrosis,Thailand
3706,Thai Association for the Study of Liver,Thailand
3707,Anadarko Petroleum Corporation,United States
3708,Centre National de la Recherche Sci-entifique,France
3709,Gen-eralitat de Catalunya,Spain
3710,Indian Department of Atomic Energy,India
3711,K.A. Wallenberg Foundation,Sweden
3712,María de Maeztu,Spain
3713,"National Commission on Research, Science & Technology of Namibia",Namibia
3714,Polish National Research Centre,Poland
3715,Roque de los Muchachos in La Palma,Spain
3716,Spanish Centro de Ex- celencia,Spain
3717,"Spanish Centro de Excelencia ""Severo Ochoa",Spain
3718,University of Rijeka,Croatia
3719,University of Rĳeka,Croatia
3720,Western Digital Storage Technologies (Thailand) Ltd,Thailand
3721,Western Digital Storage Technologies (Thailand) Ltd.,Thailand
3722,JST-ACCEL,Japan
3723,Promotion of Science,Japan
3724,"Center of Excellence in Pediatric Infectious Diseases and Vaccines, Faculty of Medicine, Chulalongkorn University",Thailand
3725,"Chevron Energy Technology, Pty Ltd",Australia
3726,Chevron Inc.,United States
3727,Rachadapisak Sompoch Endowment Fund,Thailand
3728,Thammasat University Hospital Fund,Thailand
3729,General Federal Ministry of Education of Research,Germany
3730,Colgate University’s Rakin Fund,United States
3731,Colgate University’s Research Council,United States
3732,Kyoto University’s Center for Southeast Asian Studies,Japan
3733,OBI Pharma,Taiwan
3734,Fujita Health University Hospital,Japan
3735,Bunditpatanasilpa Institute,Thailand
3736,Mahasara-kham University,Thailand
3737,"Ratchadapiseksompotch Fund, Research and Innovation Society",Thailand
3738,Chulalongkorn University’s TSRI,Thailand
3739,CU Office of Research Affairs,United States
3740,Leiden University Fund-Mulder Hamelers,Netherlands
3741,Chula Clinical Research Center,Thailand
3742,Biosense Institute,Serbia
3743,"DAAD-Ministry of Education, Science and Technological Development of the Republic of Serbia bilateral",Serbia
3744,Fraunhofer Institute for Process Engineering and Packaging,Germany
3745,Sathyabama institute of science and technology,India
3746,Stockholm Environment Institute for Doctoral Scholarship,Sweden
3747,Institut Ilmu Kesehatan Bahkti Wiyata Kediri and Universitas Brawijaya,Indonesia
3748,Institut Ilmu Kesehatan Strada Indonesia,Indonesia
3749,Chulalongkorn University Ratchadaphiseksomphot Endownment Fund,Thailand
3750,Nakhonpathom Biomass Co. Ltd,Thailand
3751,"Nakhonpathom Biomass Co., Ltd.",Thailand
3752,High-Level Talent Recruitment Plan of Yunnan Province,China
3753,National Natural Science Foundation of China General Program,China
3754,"School of Science, King Mongkut's Institute of Technology Ladkrabang",Thailand
3755,"National Health Security Office, Thailand, and Health System Research Institute",Thailand
3756,US DOE Office of Energy Efficiency and Renewable Energy Bioenergy Technologies Office,United States
3757,Western Australian Energy Research Alliance,Australia
3758,Lillie A. Johnson Foundation,United States
3759,"Kuraray Co., Ltd",Japan
3760,"Ministry of Higher Education, Science, Research and Innovation, Thailand, and Kuraray Co., Ltd",Thailand
3761,Chulalongkorn University-Dussadeepipat Scholarship,Thailand
3762,"Thailand and Thailand Science research and Innovation Fund Chulalongkorn University, Thailand",Thailand
3763,Her Royal Highness Princess Maha Chakri Sirindhorn's 5th Cycle,Thailand
3764,King Chula-longkorn Memorial Hospital,Thailand
3765,"Faculty of Agriculture, Kasetsart University",Thailand
3766,Herbalife International (Thailand) Ltd,Thailand
3767,Herbalife Nutrition,United States
3768,College of Tropical Agriculture and Human Resources,United States
3769,Thailand Science research and Innovation Fund Chulalongkorn University CU_FRB65_ind,Thailand
3770,Thailand Research Fund Career Development,Thailand
3771,CardioInsight Medtronic,United States
3772,FRGS-RACER,Malaysia
3773,BEDO-NRCT,Thailand
3774,"Phramongkutklao College of Medicine, Royal Thai Army",Thailand
3775,Korean Chemical Society,South Korea
3776,Thailand National Sports University Lampang Campus Fund,Thailand
3777,Faculty of Medicine/University of Cologne,Germany
3778,Cancer Research Funds of Radiumhemmet,Sweden
3779,ICHARM-PWRI,Japan
3780,International Centre for Water Hazard and Risk Management,Japan
3781,UNESCO-Public,France
3782,"Center of Excellence in Molecular Genetics of Cancer and Human Diseases, Faculty of Medicine, Chulalongkorn University",Thailand
3783,St John's Institute of Dermatology,United Kingdom
3784,Weston foundation,Canada
3785,"Department of Materials Science and Engineering, Faculty of Engineering and Industrial Technology Silpakorn University",Thailand
3786,Thai Fish Sauce Factory,Thailand
3787,IPAG,France
3788,LESIA,France
3789,"Labex OSUG@2020,",France
3790,OSUG,France
3791,Observatoire de Paris,France
3792,Programme National de Planétologie,France
3793,State Key Laboratory of Clean Energy Utilization at Zhejiang University,China
3794,Health System Research Institute of Thailand,Thailand
3795,Amazon Web Services Imagine,United States
3796,Association Nationale Recherche Technologie,France
3797,Coimbra Institute for Biomedical Imaging and Translational Research,Portugal
3798,Coordenac¸ão de Aperfeic¸oamento de Pessoal de Ńıvel Superior,Brazil
3800,Japanese Psychological Association,Japan
3801,Lorraine Universitéd,France
3802,National Agency of Research and Development Millennium Science Initiative,Chile
3803,Penn State's Office of the Senior Faculty Mentor,United States
3804,Polish National Science Center & Deutsche Forschungsgemeinschaft Beethoven,Poland
3805,"Research Grant Council, Hong Kong Special Administrative Region, China",China
3806,Slovak Research and Development,Slovakia
3807,Special Research Fund of Ghent University,Belgium
3808,Blackmores Limited,Australia
3809,Google Cloud,United States
3810,Stanford Center for Artificial Intelligence in Medicine and Imaging,United States
3811,Stichting Hanarth Fonds,Netherlands
3812,Digital Economy Promotion Agency Thailand,Thailand
3813,National Economic and Social Development Council,Thailand
3814,Ratchadapiseksom-potch Fund Chulalongkorn University,Thailand
3815,Thai Society of Pediatric Respiratory and Critical Care Medicine,Thailand
3816,European Commission/H2020,Belgium
